AvgVelocity,Mass,PressureDrop,Surface Area,Velocity Inlet,X Cell Size,YZ Cell Size
523.9490552,147.2394083,6818.983831,32002.35894,2650.0,11.875,11.875
571.0486881,147.2394083,8060.871949,32002.35894,2883.333333,11.875,11.875
617.3302927,147.2394083,9471.619034,32002.35894,3116.666667,11.875,11.875
662.7219277,147.2394083,10829.55885,32002.35894,3350.0,11.875,11.875
570.7660201,139.4243879,8157.213989,28561.53439,2650.0,11.875,15.625
619.3225933,139.4243879,9653.947625,28561.53439,2883.333333,11.875,15.625
668.7298058,139.4243879,11196.56891,28561.53439,3116.666667,11.875,15.625
719.4061686,139.4243879,12920.36487,28561.53439,3350.0,11.875,15.625
595.7663576,133.1029127,9070.119889,26738.74182,2650.0,11.875,19.375
646.6342636,133.1029127,10551.95787,26738.74182,2883.333333,11.875,19.375
702.1398907,133.1029127,12421.19681,26738.74182,3116.666667,11.875,19.375
754.2946393,133.1029127,14258.8206,26738.74182,3350.0,11.875,19.375
552.2144643,129.622316,5713.045884,26932.68398,2650.0,11.875,23.125
600.5880591,129.622316,6769.336909,26932.68398,2883.333333,11.875,23.125
649.566687,129.622316,7963.364972,26932.68398,3116.666667,11.875,23.125
695.1826096,129.622316,9094.894784,26932.68398,3350.0,11.875,23.125
485.8337602,143.1008568,5221.965407,30656.5132,2650.0,15.625,11.875
528.0815068,143.1008568,6207.412819,30656.5132,2883.333333,15.625,11.875
572.6229883,143.1008568,7330.503926,30656.5132,3116.666667,15.625,11.875
614.2544173,143.1008568,8389.597112,30656.5132,3350.0,15.625,11.875
527.3986401,136.0601306,6252.723939,26841.92317,2650.0,15.625,15.625
570.8029619,136.0601306,7305.233462,26841.92317,2883.333333,15.625,15.625
620.6904619,136.0601306,8534.039199,26841.92317,3116.666667,15.625,15.625
660.6850128,136.0601306,9738.505325,26841.92317,3350.0,15.625,15.625
552.5668837,130.3578131,6245.436975,24661.80699,2650.0,15.625,19.375
608.0082209,130.3578131,7299.381608,24661.80699,2883.333333,15.625,19.375
655.6532703,130.3578131,8374.113398,24661.80699,3116.666667,15.625,19.375
703.9627766,130.3578131,9876.299848,24661.80699,3350.0,15.625,19.375
567.2842297,126.431401,7087.432894,24588.49589,2650.0,15.625,23.125
615.6112696,126.431401,8444.079427,24588.49589,2883.333333,15.625,23.125
668.1604264,126.431401,9807.42961,24588.49589,3116.666667,15.625,23.125
